%time,field.x,field.y,field.z
1583762894548531886,-0.0442903975453,-0.00678670796149,-0.0472301287483
1583762894647790725,-0.044284160004,-0.00703341561869,-0.0473467549528
1583762894748232554,-0.0445258023451,-0.00715847473292,-0.0472210514643
1583762894847622875,-0.0445258023451,-0.00715847473292,-0.0472210514643
1583762894948287539,-0.0445263030414,-0.00715576833324,-0.0470990409754
1583762895047717638,-0.0445234390967,-0.00727777631904,-0.0470963346357
1583762895148250121,-0.0445205754917,-0.00739978380081,-0.0470936286543
1583762895247824398,-0.0443957011775,-0.00751892817623,-0.047091445686
1583762895348385159,-0.0443957011775,-0.00751892817623,-0.047091445686
1583762895447505564,-0.0443957011775,-0.00751892817623,-0.047091445686
1583762895548033031,-0.0445177122154,-0.00752179124305,-0.0470909230209
1583762895647813239,-0.0443933679209,-0.00763823827557,-0.0469667363887
1583762895748030772,-0.0443962235047,-0.00751623019307,-0.0469694343103
1583762895847619569,-0.0441608000074,-0.00766813472883,-0.0430579235704
1583762895949247998,-0.044645884314,-0.00823981605227,-0.0408459368968
1583762896047694517,-0.0457540015149,-0.00841937834029,-0.0370504082531
1583762896147557317,-0.0465053372543,-0.00888399245206,-0.0301976861155
1583762896247574657,-0.0475193191673,-0.0094023403948,-0.0205353699598
1583762896349185372,-0.0480615596163,-0.00995940458885,-0.00794178143183
1583762896447767064,-0.0485688447266,-0.0108368388925,-0.00376632380089
1583762896548660306,-0.0500371452628,-0.0104580544337,-0.00315730611957
1583762896647374737,-0.0506452095384,-0.00988031301029,-0.004390112056
1583762896748870251,-0.0516267625205,-0.00961307484407,-0.0034152438078
1583762896847554699,-0.0524724083943,-0.0100221255,-0.00498792921717
1583762896948830496,-0.0524699577657,-0.00979407338357,-0.0056044964419
1583762897047706508,-0.0518547091884,-0.00969887855528,-0.00670900428909
1583762897148621696,-0.0516093129756,-0.0103050899334,-0.00657243423084
1583762897247840693,-0.050753630746,-0.0105495531904,-0.00669275485764
1583762897348324946,-0.0495298150381,-0.0106670031289,-0.00669588005493
1583762897447500223,-0.0490424993831,-0.0112636165323,-0.00619542276492
1583762897550270032,-0.0475776699675,-0.0113813097793,-0.00620087690288
1583762897648481316,-0.0472119071336,-0.0112581895097,-0.0062058665291
1583762897748618031,-0.0469700042707,-0.0105252513664,-0.00622444572245
1583762897848719275,-0.0462405475214,-0.00978801310246,-0.00612322909409
1583762897948711407,-0.0461190009048,-0.00942435029587,-0.00625431806362
1583762898047704561,-0.0456339595723,-0.00892636544434,-0.0059016502935
