%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1583762873585725359,0.0,0.0,0.0,0.0,0.0,0.0
1583762873687978583,0.0,0.0,0.0,0.0,0.0,0.0
1583762873785712037,0.0,0.0,0.0,0.0,0.0,0.0
1583762873885964032,0.0,0.0,0.0,0.0,0.0,0.0
1583762873985725121,0.0,0.0,0.0,0.0,0.0,0.0
1583762874085921955,0.0,0.0,0.0,0.0,0.0,-0.2
1583762874185742778,0.0,0.0,0.0,0.0,0.0,-0.2
1583762874285846967,0.0,0.0,0.0,0.0,0.0,-0.2
1583762874385726841,0.0,0.0,0.0,0.0,0.0,-0.2
1583762874485880361,0.0,0.0,0.0,0.0,0.0,-0.2
1583762874585722148,0.0,0.0,0.0,0.0,0.0,-0.2
1583762874685837964,0.0,0.0,0.0,0.0,0.0,-0.2
1583762874785782359,0.0,0.0,0.0,0.0,0.0,-0.2
1583762874885971794,0.0,0.0,0.0,0.0,0.0,-0.2
1583762874985704271,0.0,0.0,0.0,0.0,0.0,-0.2
1583762875085921754,0.0,0.0,0.0,0.0,0.0,-0.2
1583762875185840763,0.0,0.0,0.0,0.0,0.0,-0.2
1583762875285943220,0.0,0.0,0.0,0.0,0.0,-0.2
1583762875385834790,0.0,0.0,0.0,0.0,0.0,-0.2
1583762875485889471,0.0,0.0,0.0,0.0,0.0,-0.2
1583762875585719365,0.0,0.0,0.0,0.0,0.0,-0.2
1583762875685925097,0.0,0.0,0.0,0.0,0.0,-0.2
1583762875785726236,0.0,0.0,0.0,0.0,0.0,-0.2
1583762875885897344,0.0,0.0,0.0,0.0,0.0,-0.2
1583762875985788797,0.0,0.0,0.0,0.0,0.0,-0.2
1583762876085841626,0.0,0.0,0.0,0.0,0.0,-0.2
1583762876185687053,0.0,0.0,0.0,0.0,0.0,-0.2
1583762876285893942,0.0,0.0,0.0,0.0,0.0,-0.2
1583762876385729532,0.0,0.0,0.0,0.0,0.0,-0.2
1583762876485935109,0.0,0.0,0.0,0.0,0.0,-0.2
1583762876585760304,0.0,0.0,0.0,0.0,0.0,-0.2
1583762876685923480,0.0,0.0,0.0,0.0,0.0,-0.2
1583762876785697142,0.0,0.0,0.0,0.0,0.0,-0.2
1583762876885919760,0.0,0.0,0.0,0.0,0.0,-0.2
1583762876985784277,0.0,0.0,0.0,0.0,0.0,-0.2
1583762877085895881,0.0,0.0,0.0,0.0,0.0,-0.2
1583762877185700546,0.0,0.0,0.0,0.0,0.0,-0.2
1583762877285902217,0.0,0.0,0.0,0.0,0.0,-0.2
1583762877385720228,0.0,0.0,0.0,0.0,0.0,-0.2
1583762877485861109,0.0,0.0,0.0,0.0,0.0,-0.2
1583762877585875460,0.0,0.0,0.0,0.0,0.0,-0.2
1583762877685885931,0.0,0.0,0.0,0.0,0.0,-0.2
1583762877785713621,0.0,0.0,0.0,0.0,0.0,-0.2
1583762877886196065,0.0,0.0,0.0,0.0,0.0,-0.2
1583762877985861907,0.0,0.0,0.0,0.0,0.0,-0.2
1583762878085851120,0.0,0.0,0.0,0.0,0.0,-0.2
1583762878185705390,0.0,0.0,0.0,0.0,0.0,-0.2
1583762878285894395,0.0,0.0,0.0,0.0,0.0,-0.2
1583762878385817391,0.0,0.0,0.0,0.0,0.0,-0.2
1583762878485993849,0.0,0.0,0.0,0.0,0.0,-0.2
1583762878585804951,0.0,0.0,0.0,0.0,0.0,-0.2
1583762878686033890,0.0,0.0,0.0,0.0,0.0,-0.2
1583762878785858244,0.0,0.0,0.0,0.0,0.0,-0.2
1583762878885893138,0.0,0.0,0.0,0.0,0.0,-0.2
1583762878985724713,0.0,0.0,0.0,0.0,0.0,-0.2
1583762879085900538,0.0,0.0,0.0,0.0,0.0,-0.2
1583762879185792149,0.0,0.0,0.0,0.0,0.0,-0.2
1583762879285904983,0.0,0.0,0.0,0.0,0.0,-0.2
1583762879385730935,0.0,0.0,0.0,0.0,0.0,-0.2
1583762879485866377,0.0,0.0,0.0,0.0,0.0,-0.2
1583762879585769313,0.0,0.0,0.0,0.0,0.0,-0.2
1583762879685923365,0.0,0.0,0.0,0.0,0.0,-0.2
1583762879785778437,0.0,0.0,0.0,0.0,0.0,-0.2
1583762879885882798,0.0,0.0,0.0,0.0,0.0,-0.2
1583762879985789650,0.0,0.0,0.0,0.0,0.0,-0.2
1583762880085987076,0.0,0.0,0.0,0.0,0.0,-0.2
1583762880185963631,0.0,0.0,0.0,0.0,0.0,0.0
1583762880285902734,0.0,0.0,0.0,0.0,0.0,0.0
1583762880385731882,0.0,0.0,0.0,0.0,0.0,0.0
1583762880485780146,0.0,0.0,0.0,0.0,0.0,0.0
1583762880585755798,0.0,0.0,0.0,0.0,0.0,0.0
1583762880685914532,0.0,0.0,0.0,0.0,0.0,0.0
1583762880785812830,0.0,0.0,0.0,0.0,0.0,0.0
1583762880885942527,0.0,0.0,0.0,0.0,0.0,0.0
