%time,field.x,field.y,field.theta
1583763075638746727,1.21495461862,-0.207947708969,0.614054267301
1583763075740673946,1.21443650758,-0.208090047148,0.613168426831
1583763075840683563,1.2151457154,-0.20768872155,0.613708684448
1583763075940831760,1.21510139591,-0.207987049213,0.613829954596
1583763076048841247,1.21428410573,-0.207715401461,0.613577297672
1583763076141459532,1.21584968663,-0.209537882569,0.614725802333
1583763076240904762,1.21531382442,-0.207668756968,0.614087924442
1583763076347476656,1.21526697053,-0.207849952732,0.61417636743
1583763076441737809,1.21558591735,-0.208335530738,0.614471241285
1583763076543616335,1.21508291895,-0.208761632362,0.614406506894
1583763076649325560,1.21511556401,-0.209034470738,0.614094006303
1583763076742388109,1.21480823152,-0.207548851253,0.61366937754
1583763076840940357,1.21493249083,-0.207534669579,0.613485822448
1583763076949478603,1.21469741041,-0.207377397441,0.613363090902
1583763077042260075,1.21590108608,-0.207970102299,0.6142727282
1583763077142074248,1.21596822662,-0.208861710385,0.614927819501
1583763077250999729,1.21511260502,-0.211163044141,0.614032133474
1583763077342044517,1.21612618524,-0.208308011098,0.614634084753
1583763077446959462,1.21478082275,-0.207402373109,0.613378746593
1583763077548780098,1.21440250061,-0.20781880541,0.613564590378
1583763077643380155,1.21526290992,-0.207825817652,0.613798965544
1583763077750342635,1.21610510421,-0.207857300785,0.615042760385
1583763077852555866,1.21576304113,-0.205888888238,0.614285884635
1583763077944786301,1.21658481519,-0.20639226735,0.615690035239
1583763078045296275,1.21529819219,-0.205743818844,0.614372769474
1583763078148284991,1.21558272189,-0.207641983444,0.613903719831
1583763078246488887,1.21525786445,-0.210470404764,0.613713435829
1583763078348010535,1.21552741293,-0.208313193326,0.614275172208
1583763078451475463,1.21522192154,-0.208284715276,0.614225806527
1583763078546142651,1.21497917569,-0.208129692108,0.613844965091
1583763078650621448,1.21599517638,-0.207823057596,0.614844120173
1583763078750021366,1.21547675087,-0.210314968515,0.614729575158
1583763078847045453,1.2154061464,-0.207481520918,0.614211149108
1583763078945152525,1.21562651534,-0.208851194944,0.614932723449
1583763079049815392,1.21607774238,-0.208948970652,0.614798475534
1583763079145511056,1.21469862216,-0.208910543467,0.613955657621
1583763079265172237,1.2157163527,-0.209552697998,0.614722977225
1583763079351537145,1.21631988511,-0.20561361807,0.614747060249
1583763079450752314,1.21497361087,-0.204167995181,0.613629675045
1583763079545716603,1.21526929593,-0.207205189404,0.613489062265
1583763079652647932,1.21488249387,-0.208083924391,0.613645936352
1583763079745673989,1.21471883554,-0.207949383058,0.613832160053
1583763079849155100,1.2161515588,-0.21033487598,0.615430103721
1583763079948486996,1.21583463667,-0.208539190614,0.614896852777
1583763080050093914,1.21453335775,-0.209730410831,0.613430518152
1583763080147450232,1.21501060944,-0.207938835735,0.613537165951
1583763080250424748,1.21529571629,-0.20809041294,0.614193032118
1583763080348774729,1.21614203946,-0.208585548155,0.614470617166
1583763080451631190,1.21641871105,-0.208443812976,0.614896744292
1583763080548611746,1.21597909251,-0.207957688051,0.614173339671
1583763080648942588,1.21584937358,-0.208448011882,0.614761147501
1583763080758248460,1.21420670089,-0.206701591768,0.612807636921
1583763080852064138,1.21601469841,-0.2060738965,0.614018176152
1583763080949481646,1.21631295081,-0.206121178202,0.614726240652
1583763081051808871,1.21610179622,-0.204878728818,0.614580307299
1583763081151113377,1.2160943233,-0.206815236792,0.614947257403
1583763081252599935,1.21567953329,-0.205614220023,0.613763242354
1583763081356600587,1.21594482472,-0.208673886092,0.613970811875
1583763081455377897,1.21668955561,-0.208910928999,0.615373200421
1583763081552710747,1.21650019019,-0.209151499963,0.615586196632
1583763081658767504,1.21733029462,-0.208053084322,0.615818061757
1583763081751581045,1.21626526011,-0.209046425899,0.614790627289
1583763081853791913,1.21649175401,-0.207537780266,0.615598908947
1583763081956845665,1.21631142489,-0.206472392906,0.614617071324
1583763082055229905,1.21714833701,-0.209363142057,0.615811436299
1583763082152105865,1.21748434631,-0.208805512842,0.615406626473
1583763082263928326,1.21685598712,-0.208809542701,0.614634141957
1583763082353146789,1.21699008675,-0.208142226368,0.614826203444
1583763082454992071,1.21596922173,-0.206924526043,0.61433161898
1583763082552447823,1.21573487754,-0.207955953037,0.614219693015
1583763082653936255,1.21595541326,-0.207280721016,0.61376489987
1583763082752082168,1.21590762091,-0.207645004801,0.614058468687
1583763082865226632,1.2168092228,-0.20522559002,0.615011637449
1583763082954409414,1.21641292423,-0.206038432129,0.615166144833
1583763083055106384,1.21669074433,-0.206562139845,0.615416117773
1583763083158375439,1.21668181871,-0.209009804432,0.615096526553
1583763083261191260,1.21576426175,-0.207599928342,0.610791672346
1583763083366948003,1.21660489497,-0.208472691547,0.594815060866
1583763083469505678,1.21663422635,-0.205999004177,0.576692313025
1583763083556602433,1.21736449867,-0.204569429301,0.558910491944
1583763083661176737,1.21661280232,-0.204978125797,0.535912279115
1583763083768661786,1.21591559302,-0.205380355044,0.514242739941
1583763083865198833,1.21636808906,-0.200418576812,0.494705169949
1583763083956822069,1.21614043034,-0.197353564181,0.474601916179
1583763084064086481,1.21668106877,-0.201102289701,0.455335133997
1583763084170709744,1.21673398096,-0.200249246392,0.434177935552
1583763084266414368,1.21681814283,-0.201965566092,0.414966293607
1583763084359330989,1.21606157617,-0.197155544852,0.392633799944
1583763084459620088,1.21507816126,-0.1891024788,0.370180741367
1583763084556012378,1.21474149857,-0.176374846579,0.347492097125
1583763084662549343,1.21510837663,-0.166389587189,0.326547068335
1583763084756349923,1.21429397631,-0.155126579893,0.304460902667
1583763084859577425,1.21508560673,-0.141273342012,0.284055111819
1583763084958311194,1.21527460297,-0.122187359878,0.263883735297
1583763085060262327,1.2142256765,-0.103678511839,0.24443340851
